GEO_ID,NAME,total_jobs
36061000100,"Census Tract 1, New York County, New York",0.0
36061000201,"Census Tract 2.01, New York County, New York",892.0
36061000202,"Census Tract 2.02, New York County, New York",2365.0
36061000500,"Census Tract 5, New York County, New York",0.0
36061000600,"Census Tract 6, New York County, New York",2481.0
36061000700,"Census Tract 7, New York County, New York",6463.0
36061000800,"Census Tract 8, New York County, New York",2984.0
36061000900,"Census Tract 9, New York County, New York",1086.0
36061001001,"Census Tract 10.01, New York County, New York",533.0
36061001002,"Census Tract 10.02, New York County, New York",1400.0
36061001200,"Census Tract 12, New York County, New York",1357.0
36061001300,"Census Tract 13, New York County, New York",3160.0
36061001401,"Census Tract 14.01, New York County, New York",1295.0
36061001402,"Census Tract 14.02, New York County, New York",1296.0
36061001501,"Census Tract 15.01, New York County, New York",3295.0
36061001502,"Census Tract 15.02, New York County, New York",5006.0
36061001600,"Census Tract 16, New York County, New York",2981.0
36061001800,"Census Tract 18, New York County, New York",3449.0
36061002000,"Census Tract 20, New York County, New York",897.0
36061002100,"Census Tract 21, New York County, New York",3408.0
36061002201,"Census Tract 22.01, New York County, New York",2165.0
36061002202,"Census Tract 22.02, New York County, New York",1176.0
36061002400,"Census Tract 24, New York County, New York",841.0
36061002500,"Census Tract 25, New York County, New York",1319.0
36061002601,"Census Tract 26.01, New York County, New York",1436.0
36061002602,"Census Tract 26.02, New York County, New York",2017.0
36061002700,"Census Tract 27, New York County, New York",567.0
36061002800,"Census Tract 28, New York County, New York",2471.0
36061002900,"Census Tract 29, New York County, New York",1662.0
36061003001,"Census Tract 30.01, New York County, New York",2470.0
36061003002,"Census Tract 30.02, New York County, New York",1522.0
36061003100,"Census Tract 31, New York County, New York",1275.0
36061003200,"Census Tract 32, New York County, New York",3693.0
36061003300,"Census Tract 33, New York County, New York",2668.0
36061003400,"Census Tract 34, New York County, New York",3803.0
36061003601,"Census Tract 36.01, New York County, New York",1386.0
36061003602,"Census Tract 36.02, New York County, New York",1522.0
36061003700,"Census Tract 37, New York County, New York",1506.0
36061003800,"Census Tract 38, New York County, New York",5005.0
36061003900,"Census Tract 39, New York County, New York",2948.0
36061004000,"Census Tract 40, New York County, New York",4254.0
36061004100,"Census Tract 41, New York County, New York",4500.0
36061004200,"Census Tract 42, New York County, New York",2251.0
36061004300,"Census Tract 43, New York County, New York",2100.0
36061004400,"Census Tract 44, New York County, New York",8448.0
36061004500,"Census Tract 45, New York County, New York",425.0
36061004700,"Census Tract 47, New York County, New York",1314.0
36061004800,"Census Tract 48, New York County, New York",3208.0
36061004900,"Census Tract 49, New York County, New York",2261.0
36061005000,"Census Tract 50, New York County, New York",2960.0
36061005200,"Census Tract 52, New York County, New York",1500.0
36061005400,"Census Tract 54, New York County, New York",2703.0
36061005501,"Census Tract 55.01, New York County, New York",2417.0
36061005502,"Census Tract 55.02, New York County, New York",1101.0
36061005600,"Census Tract 56, New York County, New York",2009.0
36061005700,"Census Tract 57, New York County, New York",1527.0
36061005800,"Census Tract 58, New York County, New York",2368.0
36061005900,"Census Tract 59, New York County, New York",2488.0
36061006000,"Census Tract 60, New York County, New York",2713.0
36061006100,"Census Tract 61, New York County, New York",2253.0
36061006200,"Census Tract 62, New York County, New York",1685.0
36061006300,"Census Tract 63, New York County, New York",3205.0
36061006400,"Census Tract 64, New York County, New York",4892.0
36061006500,"Census Tract 65, New York County, New York",3724.0
36061006600,"Census Tract 66, New York County, New York",5275.0
36061006700,"Census Tract 67, New York County, New York",3511.0
36061006800,"Census Tract 68, New York County, New York",4273.0
36061006900,"Census Tract 69, New York County, New York",1335.0
36061007000,"Census Tract 70, New York County, New York",4790.0
36061007100,"Census Tract 71, New York County, New York",2991.0
36061007200,"Census Tract 72, New York County, New York",4873.0
36061007300,"Census Tract 73, New York County, New York",3418.0
36061007400,"Census Tract 74, New York County, New York",2552.0
36061007500,"Census Tract 75, New York County, New York",1997.0
36061007600,"Census Tract 76, New York County, New York",1350.0
36061007700,"Census Tract 77, New York County, New York",3399.0
36061007800,"Census Tract 78, New York County, New York",5596.0
36061007900,"Census Tract 79, New York County, New York",1899.0
36061008000,"Census Tract 80, New York County, New York",2926.0
36061008100,"Census Tract 81, New York County, New York",4712.0
36061008200,"Census Tract 82, New York County, New York",2165.0
36061008300,"Census Tract 83, New York County, New York",1954.0
36061008400,"Census Tract 84, New York County, New York",1166.0
36061008601,"Census Tract 86.01, New York County, New York",1926.0
36061008602,"Census Tract 86.02, New York County, New York",0.0
36061008603,"Census Tract 86.03, New York County, New York",2061.0
36061008700,"Census Tract 87, New York County, New York",4666.0
36061008800,"Census Tract 88, New York County, New York",3996.0
36061008900,"Census Tract 89, New York County, New York",2839.0
36061009000,"Census Tract 90, New York County, New York",4962.0
36061009100,"Census Tract 91, New York County, New York",3964.0
36061009200,"Census Tract 92, New York County, New York",1041.0
36061009300,"Census Tract 93, New York County, New York",4644.0
36061009400,"Census Tract 94, New York County, New York",50.0
36061009500,"Census Tract 95, New York County, New York",1197.0
36061009600,"Census Tract 96, New York County, New York",121.0
36061009700,"Census Tract 97, New York County, New York",1815.0
36061009800,"Census Tract 98, New York County, New York",4138.0
36061009900,"Census Tract 99, New York County, New York",3842.0
36061010000,"Census Tract 100, New York County, New York",1235.0
36061010100,"Census Tract 101, New York County, New York",865.0
36061010200,"Census Tract 102, New York County, New York",43.0
36061010300,"Census Tract 103, New York County, New York",1380.0
36061010400,"Census Tract 104, New York County, New York",495.0
36061010601,"Census Tract 106.01, New York County, New York",3257.0
