GEO_ID,ctyname,total_ui_jobs
1400000US36005004200,"Bronx County, NY",2014.9999999999995
1400000US36005004300,"Bronx County, NY",1462.9999999999998
1400000US36005004400,"Bronx County, NY",1308.8
1400000US36005004600,"Bronx County, NY",519.2
1400000US36005004800,"Bronx County, NY",1074.3999999999996
1400000US36005005001,"Bronx County, NY",1157.0
1400000US36005005002,"Bronx County, NY",1461.6000000000001
1400000US36005005100,"Bronx County, NY",1674.5166666666664
1400000US36005005200,"Bronx County, NY",660.8
1400000US36005005300,"Bronx County, NY",1108.1999999999998
1400000US36005005400,"Bronx County, NY",1547.6000000000001
1400000US36005005600,"Bronx County, NY",779.8
1400000US36005005902,"Bronx County, NY",946.8
1400000US36005006000,"Bronx County, NY",459.6
1400000US36005006100,"Bronx County, NY",1092.6000000000001
1400000US36005006200,"Bronx County, NY",1626.2
1400000US36005006300,"Bronx County, NY",1832.8
1400000US36005006400,"Bronx County, NY",1150.8
1400000US36005006500,"Bronx County, NY",1460.1333333333332
1400000US36005006700,"Bronx County, NY",1875.6
1400000US36005006800,"Bronx County, NY",960.5
1400000US36005006900,"Bronx County, NY",2057.6
1400000US36005007000,"Bronx County, NY",1282.2
1400000US36005007100,"Bronx County, NY",850.9999999999999
1400000US36005007200,"Bronx County, NY",1606.2
1400000US36005007300,"Bronx County, NY",1115.0
1400000US36005007400,"Bronx County, NY",1023.8
1400000US36005007500,"Bronx County, NY",1752.2
1400000US36005007600,"Bronx County, NY",1406.1499999999999
1400000US36005007700,"Bronx County, NY",645.0
1400000US36005007800,"Bronx County, NY",1855.4
1400000US36005007900,"Bronx County, NY",1761.8
1400000US36005008300,"Bronx County, NY",1704.4
1400000US36005008400,"Bronx County, NY",730.4
1400000US36005008500,"Bronx County, NY",1498.0
1400000US36005008600,"Bronx County, NY",1132.8
1400000US36005008700,"Bronx County, NY",1556.3999999999999
1400000US36005008900,"Bronx County, NY",952.0
1400000US36005009000,"Bronx County, NY",1097.15
1400000US36005009200,"Bronx County, NY",1607.6000000000001
1400000US36005009300,"Bronx County, NY",1705.45
1400000US36005009600,"Bronx County, NY",830.1999999999999
1400000US36005009800,"Bronx County, NY",1609.0
1400000US36005011000,"Bronx County, NY",2.0
1400000US36005011502,"Bronx County, NY",1195.45
1400000US36005011700,"Bronx County, NY",577.95
1400000US36005011800,"Bronx County, NY",1381.1499999999999
1400000US36005011900,"Bronx County, NY",1640.0
1400000US36005012101,"Bronx County, NY",973.6
1400000US36005012102,"Bronx County, NY",539.4000000000001
1400000US36005012300,"Bronx County, NY",1296.1
1400000US36005012500,"Bronx County, NY",1205.0000000000002
1400000US36005012701,"Bronx County, NY",760.8
1400000US36005012901,"Bronx County, NY",1080.2
1400000US36005013000,"Bronx County, NY",422.2
1400000US36005013100,"Bronx County, NY",1455.6000000000001
1400000US36005013200,"Bronx County, NY",1699.6
1400000US36005013300,"Bronx County, NY",1810.6
1400000US36005013500,"Bronx County, NY",1165.2000000000003
1400000US36005013800,"Bronx County, NY",1041.1999999999998
1400000US36005014100,"Bronx County, NY",1592.2
1400000US36005014300,"Bronx County, NY",452.4
1400000US36005014400,"Bronx County, NY",1677.0
1400000US36005014500,"Bronx County, NY",1702.4
1400000US36005014701,"Bronx County, NY",1724.4
1400000US36005014702,"Bronx County, NY",1432.6
1400000US36005014900,"Bronx County, NY",1291.4
1400000US36005015100,"Bronx County, NY",1550.6
1400000US36005015200,"Bronx County, NY",767.8
1400000US36005015300,"Bronx County, NY",1223.8
1400000US36005015500,"Bronx County, NY",909.7999999999998
1400000US36005015700,"Bronx County, NY",1152.0
1400000US36005015800,"Bronx County, NY",487.40000000000003
1400000US36005015900,"Bronx County, NY",687.5999999999999
1400000US36005016000,"Bronx County, NY",1221.2
1400000US36005016100,"Bronx County, NY",1309.0
1400000US36005016200,"Bronx County, NY",602.6000000000001
1400000US36005016300,"Bronx County, NY",114.4
1400000US36005016400,"Bronx County, NY",476.1499999999999
1400000US36005016500,"Bronx County, NY",421.0
1400000US36005016600,"Bronx County, NY",735.8
1400000US36005016700,"Bronx County, NY",843.1999999999999
1400000US36005016900,"Bronx County, NY",544.4
1400000US36005017100,"Bronx County, NY",113.4
1400000US36005017300,"Bronx County, NY",1626.6000000000001
1400000US36005017500,"Bronx County, NY",1936.4000000000003
1400000US36005017701,"Bronx County, NY",1201.9999999999998
1400000US36005017702,"Bronx County, NY",1317.4
