GEO_ID,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include
1400000US36061007400,1.2000000000000028,89.8,151528.0,1568.0,67.6,2931.0,38.2,4175.0,6.2,72.7,1.5,13.8,1
1400000US36061007500,0.5999999999999943,82.1,137993.0,1030.0,46.2,2602.0,27.2,3689.0,4.9,82.9,1.5,4.7,1
1400000US36061007600,5.5,82.5,115139.0,910.0,84.0,2885.0,40.9,1991.0,4.1,41.4,2.8,49.0,1
1400000US36061007700,1.5,85.1,151438.0,2648.0,72.8,2238.0,31.6,6117.0,6.1,82.6,0.8,5.9,1
1400000US36061007800,1.5,81.4,130000.0,3317.0,69.6,2770.0,35.3,8965.0,10.9,55.9,3.2,21.7,1
1400000US36061007900,1.9000000000000057,80.4,87384.0,1522.0,61.7,1364.0,44.0,4379.0,6.0,88.9,0.5,3.4,1
1400000US36061008000,3.5999999999999943,84.4,126053.0,1425.0,47.0,2484.0,43.2,5013.0,7.8,75.9,1.8,11.6,1
1400000US36061008100,4.900000000000006,83.0,132332.0,3091.0,67.5,1999.0,25.8,7762.0,13.9,71.9,2.3,8.6,1
1400000US36061008200,1.5999999999999943,83.5,134429.0,1117.0,54.1,3049.0,36.3,3264.0,3.5,65.4,1.0,24.9,1
1400000US36061008300,10.5,54.0,63588.0,1742.0,84.4,1022.0,40.6,3844.0,34.0,43.0,9.3,6.9,1
1400000US36061008400,0.7999999999999972,85.4,142721.0,768.0,77.7,,49.4,1956.0,6.7,47.8,2.0,37.9,1
1400000US36061008601,0.7000000000000028,86.2,150962.0,1001.0,75.2,,33.8,3022.0,4.3,68.3,2.0,22.8,1
1400000US36061008602,,,,0.0,,,,0.0,,,,,0
1400000US36061008603,0.9000000000000057,85.2,168245.0,736.0,30.0,3047.0,43.1,4313.0,5.8,79.2,0.7,10.1,1
1400000US36061008700,3.5999999999999943,83.8,160987.0,2865.0,69.4,2461.0,24.9,7186.0,14.6,72.4,1.6,8.0,1
1400000US36061008800,2.299999999999997,83.7,115462.0,2053.0,46.9,2105.0,37.8,7285.0,5.0,64.4,1.1,24.8,1
1400000US36061008900,7.299999999999997,71.8,103676.0,1934.0,68.4,2048.0,32.8,5383.0,13.1,67.1,6.5,6.0,1
1400000US36061009000,3.5999999999999943,82.1,136514.0,3041.0,65.7,2407.0,31.8,7500.0,7.1,68.6,2.7,19.3,1
1400000US36061009100,6.0,78.0,121183.0,2580.0,68.5,2097.0,27.1,6247.0,5.9,69.3,2.7,18.7,1
1400000US36061009200,1.9000000000000057,84.2,126042.0,937.0,86.2,2599.0,31.6,1602.0,5.4,66.9,1.1,24.5,1
1400000US36061009300,8.299999999999997,62.5,64967.0,2951.0,56.6,1583.0,37.0,9260.0,17.1,55.2,3.3,17.6,1
1400000US36061009400,0.0,82.2,,34.0,89.5,3028.0,11.8,54.0,0.0,92.6,40.4,7.4,0
1400000US36061009500,3.5999999999999943,82.2,142700.0,793.0,66.3,2750.0,28.5,3168.0,9.9,71.3,2.1,13.0,1
1400000US36061009600,0.0,95.0,144063.0,88.0,89.8,2879.0,17.9,141.0,2.1,67.4,20.4,30.5,0
1400000US36061009700,11.900000000000006,58.6,55614.0,1343.0,47.0,934.0,37.9,4965.0,22.6,50.2,4.5,20.7,1
1400000US36061009800,2.9000000000000057,76.8,126500.0,2329.0,55.2,2436.0,38.3,7200.0,5.9,78.0,1.0,12.7,1
1400000US36061009900,5.5,78.0,128827.0,3184.0,90.9,3345.0,37.2,5759.0,11.5,60.5,2.4,19.8,1
1400000US36061010000,2.9000000000000057,86.0,94938.0,883.0,76.5,2698.0,40.6,1768.0,3.5,75.8,1.8,17.2,1
1400000US36061010100,5.400000000000006,77.0,135000.0,818.0,98.6,3355.0,39.6,1273.0,9.1,47.2,4.3,32.8,1
1400000US36061010200,0.0,79.5,128750.0,22.0,44.9,3250.0,65.0,100.0,11.0,58.0,27.2,2.0,0
1400000US36061010300,1.5999999999999943,82.5,101218.0,1061.0,87.8,2841.0,38.2,1990.0,6.9,53.3,5.0,27.7,1
1400000US36061010400,2.0,76.3,125156.0,286.0,50.1,2829.0,40.2,919.0,11.2,65.4,1.9,19.5,0
1400000US36061010601,2.0,78.9,154425.0,1085.0,24.7,2748.0,48.6,7144.0,1.8,86.1,0.5,9.7,1
1400000US36061010602,2.0,85.8,151250.0,1704.0,78.6,2920.0,29.4,4562.0,8.4,75.5,2.8,12.1,1
1400000US36061010800,1.5999999999999943,89.3,145529.0,2940.0,58.9,2203.0,24.3,9192.0,5.1,80.0,0.8,13.0,1
1400000US36061010900,0.0,92.5,166359.0,64.0,68.8,2719.0,9.4,182.0,1.1,67.0,10.0,23.6,0
1400000US36061011000,0.5999999999999943,80.6,116537.0,2929.0,74.4,2569.0,32.0,6909.0,8.6,75.6,2.8,10.3,1
1400000US36061011100,6.299999999999997,67.0,100813.0,2490.0,90.7,2676.0,33.7,4838.0,13.7,51.2,3.0,27.2,1
1400000US36061011201,1.2999999999999972,68.2,138235.0,376.0,78.3,2447.0,33.8,824.0,6.8,78.2,2.8,11.3,0
1400000US36061011202,2.799999999999997,85.4,145208.0,47.0,24.6,3117.0,23.4,363.0,5.0,79.1,8.6,16.0,0
1400000US36061011203,1.0,86.8,128793.0,371.0,57.3,2853.0,41.1,1154.0,1.8,71.9,1.9,21.3,0
1400000US36061011300,30.200000000000003,52.3,83750.0,28.0,49.1,3200.0,32.1,110.0,0.0,15.5,16.0,56.4,0
1400000US36061011401,3.4000000000000057,77.3,237639.0,238.0,38.3,2070.0,34.0,1137.0,5.5,88.5,0.8,4.0,0
1400000US36061011402,2.299999999999997,85.3,141406.0,274.0,26.4,2116.0,39.1,1795.0,4.5,81.2,0.8,8.4,0
1400000US36061011500,12.700000000000003,70.0,133333.0,1501.0,81.7,2625.0,34.3,3779.0,22.0,35.0,3.7,33.1,1
1400000US36061011600,0.9000000000000057,80.1,83712.0,1345.0,78.3,1728.0,31.5,3331.0,5.8,71.0,2.9,17.6,1
1400000US36061011700,7.099999999999994,76.5,134606.0,2459.0,100.0,3005.0,28.8,4242.0,26.1,47.3,3.9,18.8,1
1400000US36061011800,1.0,82.0,127450.0,2988.0,63.4,2525.0,37.1,8767.0,6.2,83.7,0.1,9.5,1
1400000US36061011900,19.700000000000003,26.4,19803.0,990.0,100.0,612.0,43.7,1097.0,26.2,26.7,11.6,3.8,1
1400000US36061012000,1.7999999999999972,82.1,196472.0,465.0,28.1,2439.0,40.3,3056.0,5.7,85.9,6.0,1.7,0
1400000US36061012100,10.900000000000006,68.2,62833.0,4539.0,94.8,1366.0,37.4,7920.0,20.4,61.4,2.2,12.7,1
1400000US36061012200,0.5,82.1,172981.0,415.0,28.7,2198.0,40.7,2553.0,8.7,90.5,1.3,0.9,0
1400000US36061012400,2.200000000000003,85.5,124699.0,3980.0,76.5,2431.0,32.9,10052.0,15.3,71.6,0.6,9.7,1
1400000US36061012500,5.099999999999994,81.0,126270.0,1439.0,95.2,3302.0,32.9,2407.0,13.0,51.6,1.9,29.5,1
1400000US36061012600,0.5999999999999943,74.2,105718.0,4529.0,61.6,2133.0,27.1,13330.0,5.2,78.8,1.1,12.3,1
1400000US36061012700,4.200000000000003,71.4,81104.0,2936.0,74.4,2121.0,49.5,6539.0,24.5,53.7,2.6,15.0,1
