"GEO_ID","id"
"B25074_040E","Estimate!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent"
"B25074_040M","Margin of Error!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent"
"B25074_041E","Estimate!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent"
"B25074_041M","Margin of Error!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent"
"B25074_042E","Estimate!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent"
"B25074_042M","Margin of Error!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent"
"B25074_043E","Estimate!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent"
"B25074_043M","Margin of Error!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent"
"B25074_044E","Estimate!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent"
"B25074_044M","Margin of Error!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent"
"B25074_045E","Estimate!!Total!!$50,000 to $74,999!!50.0 percent or more"
"B25074_045M","Margin of Error!!Total!!$50,000 to $74,999!!50.0 percent or more"
"B25074_046E","Estimate!!Total!!$50,000 to $74,999!!Not computed"
"B25074_046M","Margin of Error!!Total!!$50,000 to $74,999!!Not computed"
"B25074_047E","Estimate!!Total!!$75,000 to $99,999"
"B25074_047M","Margin of Error!!Total!!$75,000 to $99,999"
"B25074_048E","Estimate!!Total!!$75,000 to $99,999!!Less than 20.0 percent"
"B25074_048M","Margin of Error!!Total!!$75,000 to $99,999!!Less than 20.0 percent"
"B25074_049E","Estimate!!Total!!$75,000 to $99,999!!20.0 to 24.9 percent"
"B25074_049M","Margin of Error!!Total!!$75,000 to $99,999!!20.0 to 24.9 percent"
"B25074_050E","Estimate!!Total!!$75,000 to $99,999!!25.0 to 29.9 percent"
"B25074_050M","Margin of Error!!Total!!$75,000 to $99,999!!25.0 to 29.9 percent"
"B25074_051E","Estimate!!Total!!$75,000 to $99,999!!30.0 to 34.9 percent"
"B25074_051M","Margin of Error!!Total!!$75,000 to $99,999!!30.0 to 34.9 percent"
"B25074_052E","Estimate!!Total!!$75,000 to $99,999!!35.0 to 39.9 percent"
"B25074_052M","Margin of Error!!Total!!$75,000 to $99,999!!35.0 to 39.9 percent"
"B25074_053E","Estimate!!Total!!$75,000 to $99,999!!40.0 to 49.9 percent"
"B25074_053M","Margin of Error!!Total!!$75,000 to $99,999!!40.0 to 49.9 percent"
"B25074_054E","Estimate!!Total!!$75,000 to $99,999!!50.0 percent or more"
"B25074_054M","Margin of Error!!Total!!$75,000 to $99,999!!50.0 percent or more"
"B25074_055E","Estimate!!Total!!$75,000 to $99,999!!Not computed"
"B25074_055M","Margin of Error!!Total!!$75,000 to $99,999!!Not computed"
"B25074_056E","Estimate!!Total!!$100,000 or more"
"B25074_056M","Margin of Error!!Total!!$100,000 or more"
"B25074_057E","Estimate!!Total!!$100,000 or more!!Less than 20.0 percent"
"B25074_057M","Margin of Error!!Total!!$100,000 or more!!Less than 20.0 percent"
"B25074_058E","Estimate!!Total!!$100,000 or more!!20.0 to 24.9 percent"
"B25074_058M","Margin of Error!!Total!!$100,000 or more!!20.0 to 24.9 percent"
