"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1400000US36005017300","Census Tract 173, Bronx County, New York","1944","124","90","87","59","58","238","138","142","102","314","164","243","138","72","61","125","107","661","202","0","16"
"1400000US36005017500","Census Tract 175, Bronx County, New York","2585","137","103","74","219","132","276","145","227","132","414","154","224","136","161","111","160","104","651","168","150","128"
"1400000US36005017701","Census Tract 177.01, Bronx County, New York","1010","119","0","11","83","92","41","44","42","51","73","58","49","38","51","54","102","75","511","139","58","62"
"1400000US36005017702","Census Tract 177.02, Bronx County, New York","1488","97","55","51","186","95","57","47","166","93","117","60","92","71","57","50","136","74","536","131","86","62"
"1400000US36005017901","Census Tract 179.01, Bronx County, New York","1490","97","53","50","40","39","62","57","127","75","187","100","0","16","101","67","159","74","696","147","65","56"
"1400000US36005017902","Census Tract 179.02, Bronx County, New York","1151","50","6","11","14","24","84","65","70","64","99","80","203","109","57","44","60","49","507","126","51","53"
"1400000US36005018101","Census Tract 181.01, Bronx County, New York","946","77","13","20","79","57","96","62","22","26","70","45","27","27","60","47","127","65","428","111","24","38"
"1400000US36005018102","Census Tract 181.02, Bronx County, New York","1596","71","17","27","121","61","125","74","160","75","98","55","129","63","158","85","137","70","552","114","99","71"
"1400000US36005018301","Census Tract 183.01, Bronx County, New York","1585","99","34","39","138","71","86","50","185","87","122","57","158","63","111","55","204","92","513","112","34","35"
"1400000US36005018302","Census Tract 183.02, Bronx County, New York","1218","60","40","37","42","40","78","52","57","44","129","68","99","64","88","51","134","78","479","113","72","52"
"1400000US36005018400","Census Tract 184, Bronx County, New York","818","131","9","14","163","94","91","50","53","45","56","35","101","74","19","22","27","26","279","110","20","32"
"1400000US36005018500","Census Tract 185, Bronx County, New York","2638","154","65","63","127","73","192","126","283","127","438","163","184","95","222","113","108","70","821","164","198","131"
"1400000US36005018900","Census Tract 189, Bronx County, New York","2728","136","66","69","163","87","130","90","352","173","224","114","201","115","54","57","270","137","1017","217","251","120"
"1400000US36005019300","Census Tract 193, Bronx County, New York","2120","114","124","75","57","63","94","74","170","106","213","114","257","159","135","103","234","156","719","197","117","94"
"1400000US36005019400","Census Tract 194, Bronx County, New York","511","75","5","9","24","20","38","29","22","24","54","39","63","49","41","35","66","42","151","60","47","44"
"1400000US36005019500","Census Tract 195, Bronx County, New York","2615","118","65","66","55","56","198","88","214","124","236","128","228","123","160","109","298","143","1015","209","146","112"
"1400000US36005019700","Census Tract 197, Bronx County, New York","2221","82","99","71","116","93","156","100","165","106","187","110","146","115","181","107","188","118","938","158","45","61"
"1400000US36005019900","Census Tract 199, Bronx County, New York","2643","112","57","55","337","147","265","142","107","72","185","110","228","119","136","95","264","120","958","208","106","80"
"1400000US36005020000","Census Tract 200, Bronx County, New York","1292","101","67","59","116","71","68","50","43","37","139","69","136","78","72","55","117","64","511","119","23","26"
"1400000US36005020100","Census Tract 201, Bronx County, New York","1316","51","76","56","50","42","94","56","154","79","100","63","196","78","54","42","91","60","433","109","68","39"
"1400000US36005020200","Census Tract 202, Bronx County, New York","756","49","11","14","50","34","77","39","75","39","37","22","67","35","12","13","103","47","301","60","23","22"
"1400000US36005020400","Census Tract 204, Bronx County, New York","800","101","3","12","0","11","95","63","130","75","36","35","50","67","61","66","124","81","263","119","38","34"
"1400000US36005020501","Census Tract 205.01, Bronx County, New York","2756","116","172","111","197","116","268","116","319","144","219","128","299","124","199","129","288","130","761","184","34","41"
"1400000US36005020502","Census Tract 205.02, Bronx County, New York","807","69","35","25","37","32","51","35","73","45","81","42","62","33","14","22","88","43","327","65","39","31"
"1400000US36005020601","Census Tract 206.01, Bronx County, New York","626","95","10","15","29","35","58","56","55","41","128","76","73","52","31","29","30","36","176","83","36","39"
"1400000US36005020900","Census Tract 209, Bronx County, New York","1655","95","5","16","47","37","189","110","216","94","86","50","169","73","68","44","137","80","632","146","106","68"
"1400000US36005021001","Census Tract 210.01, Bronx County, New York","2827","314","150","133","253","119","468","208","226","128","261","157","342","166","161","101","294","186","624","215","48","39"
"1400000US36005021002","Census Tract 210.02, Bronx County, New York","2563","167","57","74","188","121","366","167","403","172","517","176","113","76","68","60","215","134","542","156","94","82"
"1400000US36005021100","Census Tract 211, Bronx County, New York","1712","87","15","12","0","16","152","76","151","84","192","85","186","93","114","61","166","82","690","142","46","42"
"1400000US36005021200","Census Tract 212, Bronx County, New York","1638","156","13","22","210","140","376","140","265","91","156","113","187","112","30","42","95","69","210","116","96","102"
"1400000US36005021301","Census Tract 213.01, Bronx County, New York","383","42","0","11","11","14","18","26","43","36","23","20","60","37","22","26","31","29","169","49","6","11"
"1400000US36005021302","Census Tract 213.02, Bronx County, New York","1992","111","0","16","150","128","62","60","316","127","282","143","113","90","202","149","233","151","612","154","22","38"
"1400000US36005021501","Census Tract 215.01, Bronx County, New York","1369","60","31","37","83","59","126","76","47","36","128","63","147","71","137","64","173","74","410","111","87","54"
"1400000US36005021502","Census Tract 215.02, Bronx County, New York","2064","77","100","57","149","100","123","82","124","62","101","64","222","94","112","61","347","137","728","140","58","44"
"1400000US36005021601","Census Tract 216.01, Bronx County, New York","1331","105","29","37","61","55","5","9","91","53","35","39","70","52","122","68","160","84","703","128","55","46"
"1400000US36005021602","Census Tract 216.02, Bronx County, New York","1963","159","14","22","86","54","322","120","299","133","251","119","85","85","112","81","139","93","619","175","36","41"
"1400000US36005021700","Census Tract 217, Bronx County, New York","1662","97","24","38","62","59","166","73","122","68","214","92","151","71","173","72","162","78","512","124","76","63"
"1400000US36005021800","Census Tract 218, Bronx County, New York","1802","196","0","16","188","105","108","97","197","114","127","95","43","53","98","71","256","145","610","176","175","134"
"1400000US36005021900","Census Tract 219, Bronx County, New York","388","36","6","10","6","10","36","26","32","26","22","17","33","26","33","24","40","31","175","47","5","9"
"1400000US36005022000","Census Tract 220, Bronx County, New York","680","37","0","11","28","25","36","27","88","39","96","46","49","39","53","37","18","16","265","69","47","41"
"1400000US36005022101","Census Tract 221.01, Bronx County, New York","1211","61","33","37","71","59","164","82","99","67","19","23","34","33","86","69","162","71","504","123","39","36"
"1400000US36005022102","Census Tract 221.02, Bronx County, New York","1642","81","26","29","53","50","55","49","124","78","122","69","140","81","42","55","175","101","764","142","141","77"
"1400000US36005022200","Census Tract 222, Bronx County, New York","1025","74","30","33","31","35","105","54","129","69","131","67","20","22","96","61","114","61","351","94","18","19"
"1400000US36005022300","Census Tract 223, Bronx County, New York","1826","51","52","46","11","19","145","89","243","104","157","91","136","79","70","47","141","78","798","142","73","70"
"1400000US36005022401","Census Tract 224.01, Bronx County, New York","938","85","22","25","76","45","28","24","116","61","122","65","81","55","24","27","81","56","352","86","36","41"
"1400000US36005022403","Census Tract 224.03, Bronx County, New York","1206","67","16","20","53","53","109","49","94","57","102","57","72","46","104","82","133","77","438","113","85","60"
"1400000US36005022404","Census Tract 224.04, Bronx County, New York","1452","123","29","25","124","77","102","54","79","49","133","69","216","85","126","72","158","70","456","135","29","35"
"1400000US36005022500","Census Tract 225, Bronx County, New York","2275","105","69","70","81","68","199","121","171","101","248","105","176","95","238","127","195","116","761","185","137","101"
"1400000US36005022701","Census Tract 227.01, Bronx County, New York","1774","80","70","56","101","60","142","70","152","77","108","68","37","30","220","105","222","98","651","153","71","42"
"1400000US36005022702","Census Tract 227.02, Bronx County, New York","561","22","14","15","10","16","63","37","39","38","71","47","42","38","16","17","15","17","261","73","30","26"
"1400000US36005022703","Census Tract 227.03, Bronx County, New York","573","43","47","37","44","34","22","17","87","50","59","48","38","29","31","26","18","16","202","69","25","26"
"1400000US36005022800","Census Tract 228, Bronx County, New York","2127","156","25","32","147","120","203","119","407","155","212","128","204","119","119","94","63","67","617","187","130","111"
"1400000US36005022901","Census Tract 229.01, Bronx County, New York","1777","115","21","25","71","57","157","84","153","78","149","77","151","82","110","82","187","73","650","144","128","80"
"1400000US36005022902","Census Tract 229.02, Bronx County, New York","959","98","20","32","8","15","43","42","64","53","133","67","75","52","59","39","108","61","397","86","52","50"
"1400000US36005023000","Census Tract 230, Bronx County, New York","740","76","28","31","7","13","31","31","104","67","39","31","24","29","65","47","67","41","337","101","38","38"
"1400000US36005023100","Census Tract 231, Bronx County, New York","448","25","0","11","0","11","23","27","37","29","101","42","46","36","3","12","20","15","194","61","24","23"
"1400000US36005023200","Census Tract 232, Bronx County, New York","503","74","20","21","30","20","26","25","48","36","60","43","31","30","41","33","23","25","201","65","23","17"
"1400000US36005023301","Census Tract 233.01, Bronx County, New York","1501","73","12","18","23","37","111","79","119","71","67","49","171","87","112","78","97","73","659","137","130","61"
"1400000US36005023302","Census Tract 233.02, Bronx County, New York","992","50","19","21","58","41","35","39","74","48","77","51","83","53","56","37","96","54","465","102","29","34"
"1400000US36005023501","Census Tract 235.01, Bronx County, New York","1080","46","0","11","20","25","76","63","73","69","79","68","79","46","27","26","130","73","489","127","107","80"
