"GEO_ID","NAME","C24050_001E","C24050_001M","C24050_002E","C24050_002M","C24050_003E","C24050_003M","C24050_004E","C24050_004M","C24050_005E","C24050_005M","C24050_006E","C24050_006M","C24050_007E","C24050_007M","C24050_008E","C24050_008M","C24050_009E","C24050_009M","C24050_010E","C24050_010M","C24050_011E","C24050_011M","C24050_012E","C24050_012M","C24050_013E","C24050_013M","C24050_014E","C24050_014M","C24050_015E","C24050_015M","C24050_016E","C24050_016M","C24050_017E","C24050_017M","C24050_018E","C24050_018M","C24050_019E","C24050_019M","C24050_020E","C24050_020M","C24050_021E","C24050_021M","C24050_022E","C24050_022M","C24050_023E","C24050_023M","C24050_024E","C24050_024M","C24050_025E","C24050_025M","C24050_026E","C24050_026M","C24050_027E","C24050_027M","C24050_028E","C24050_028M","C24050_029E","C24050_029M","C24050_030E","C24050_030M","C24050_031E","C24050_031M","C24050_032E","C24050_032M","C24050_033E","C24050_033M","C24050_034E","C24050_034M","C24050_035E","C24050_035M","C24050_036E","C24050_036M","C24050_037E","C24050_037M","C24050_038E","C24050_038M","C24050_039E","C24050_039M","C24050_040E","C24050_040M","C24050_041E","C24050_041M","C24050_042E","C24050_042M","C24050_043E","C24050_043M","C24050_044E","C24050_044M","C24050_045E","C24050_045M","C24050_046E","C24050_046M","C24050_047E","C24050_047M","C24050_048E","C24050_048M","C24050_049E","C24050_049M","C24050_050E","C24050_050M","C24050_051E","C24050_051M","C24050_052E","C24050_052M","C24050_053E","C24050_053M","C24050_054E","C24050_054M","C24050_055E","C24050_055M","C24050_056E","C24050_056M","C24050_057E","C24050_057M","C24050_058E","C24050_058M","C24050_059E","C24050_059M","C24050_060E","C24050_060M","C24050_061E","C24050_061M","C24050_062E","C24050_062M","C24050_063E","C24050_063M","C24050_064E","C24050_064M","C24050_065E","C24050_065M","C24050_066E","C24050_066M","C24050_067E","C24050_067M","C24050_068E","C24050_068M","C24050_069E","C24050_069M","C24050_070E","C24050_070M","C24050_071E","C24050_071M","C24050_072E","C24050_072M","C24050_073E","C24050_073M","C24050_074E","C24050_074M","C24050_075E","C24050_075M","C24050_076E","C24050_076M","C24050_077E","C24050_077M","C24050_078E","C24050_078M","C24050_079E","C24050_079M","C24050_080E","C24050_080M","C24050_081E","C24050_081M","C24050_082E","C24050_082M","C24050_083E","C24050_083M","C24050_084E","C24050_084M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Construction","Margin of Error!!Total!!Construction","Estimate!!Total!!Manufacturing","Margin of Error!!Total!!Manufacturing","Estimate!!Total!!Wholesale trade","Margin of Error!!Total!!Wholesale trade","Estimate!!Total!!Retail trade","Margin of Error!!Total!!Retail trade","Estimate!!Total!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Transportation and warehousing, and utilities","Estimate!!Total!!Information","Margin of Error!!Total!!Information","Estimate!!Total!!Finance and insurance, and real estate, and rental and leasing","Margin of Error!!Total!!Finance and insurance, and real estate, and rental and leasing","Estimate!!Total!!Professional, scientific, and management, and administrative, and waste management services","Margin of Error!!Total!!Professional, scientific, and management, and administrative, and waste management services","Estimate!!Total!!Educational services, and health care and social assistance","Margin of Error!!Total!!Educational services, and health care and social assistance","Estimate!!Total!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Other services, except public administration","Margin of Error!!Total!!Other services, except public administration","Estimate!!Total!!Public administration","Margin of Error!!Total!!Public administration","Estimate!!Total!!Management, business, science, and arts occupations","Margin of Error!!Total!!Management, business, science, and arts occupations","Estimate!!Total!!Management, business, science, and arts occupations!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Management, business, science, and arts occupations!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Management, business, science, and arts occupations!!Construction","Margin of Error!!Total!!Management, business, science, and arts occupations!!Construction","Estimate!!Total!!Management, business, science, and arts occupations!!Manufacturing","Margin of Error!!Total!!Management, business, science, and arts occupations!!Manufacturing","Estimate!!Total!!Management, business, science, and arts occupations!!Wholesale trade","Margin of Error!!Total!!Management, business, science, and arts occupations!!Wholesale trade","Estimate!!Total!!Management, business, science, and arts occupations!!Retail trade","Margin of Error!!Total!!Management, business, science, and arts occupations!!Retail trade","Estimate!!Total!!Management, business, science, and arts occupations!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Management, business, science, and arts occupations!!Transportation and warehousing, and utilities","Estimate!!Total!!Management, business, science, and arts occupations!!Information","Margin of Error!!Total!!Management, business, science, and arts occupations!!Information","Estimate!!Total!!Management, business, science, and arts occupations!!Finance and insurance, and real estate, and rental and leasing","Margin of Error!!Total!!Management, business, science, and arts occupations!!Finance and insurance, and real estate, and rental and leasing","Estimate!!Total!!Management, business, science, and arts occupations!!Professional, scientific, and management, and administrative, and waste management services","Margin of Error!!Total!!Management, business, science, and arts occupations!!Professional, scientific, and management, and administrative, and waste management services","Estimate!!Total!!Management, business, science, and arts occupations!!Educational services, and health care and social assistance","Margin of Error!!Total!!Management, business, science, and arts occupations!!Educational services, and health care and social assistance","Estimate!!Total!!Management, business, science, and arts occupations!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Management, business, science, and arts occupations!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Management, business, science, and arts occupations!!Other services, except public administration","Margin of Error!!Total!!Management, business, science, and arts occupations!!Other services, except public administration","Estimate!!Total!!Management, business, science, and arts occupations!!Public administration","Margin of Error!!Total!!Management, business, science, and arts occupations!!Public administration","Estimate!!Total!!Service occupations","Margin of Error!!Total!!Service occupations","Estimate!!Total!!Service occupations!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Service occupations!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Service occupations!!Construction","Margin of Error!!Total!!Service occupations!!Construction","Estimate!!Total!!Service occupations!!Manufacturing","Margin of Error!!Total!!Service occupations!!Manufacturing","Estimate!!Total!!Service occupations!!Wholesale trade","Margin of Error!!Total!!Service occupations!!Wholesale trade","Estimate!!Total!!Service occupations!!Retail trade","Margin of Error!!Total!!Service occupations!!Retail trade","Estimate!!Total!!Service occupations!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Service occupations!!Transportation and warehousing, and utilities","Estimate!!Total!!Service occupations!!Information","Margin of Error!!Total!!Service occupations!!Information","Estimate!!Total!!Service occupations!!Finance and insurance, and real estate, and rental and leasing","Margin of Error!!Total!!Service occupations!!Finance and insurance, and real estate, and rental and leasing","Estimate!!Total!!Service occupations!!Professional, scientific, and management, and administrative, and waste management services","Margin of Error!!Total!!Service occupations!!Professional, scientific, and management, and administrative, and waste management services","Estimate!!Total!!Service occupations!!Educational services, and health care and social assistance","Margin of Error!!Total!!Service occupations!!Educational services, and health care and social assistance","Estimate!!Total!!Service occupations!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Service occupations!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Service occupations!!Other services, except public administration","Margin of Error!!Total!!Service occupations!!Other services, except public administration","Estimate!!Total!!Service occupations!!Public administration","Margin of Error!!Total!!Service occupations!!Public administration","Estimate!!Total!!Sales and office occupations","Margin of Error!!Total!!Sales and office occupations","Estimate!!Total!!Sales and office occupations!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Sales and office occupations!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Sales and office occupations!!Construction","Margin of Error!!Total!!Sales and office occupations!!Construction","Estimate!!Total!!Sales and office occupations!!Manufacturing","Margin of Error!!Total!!Sales and office occupations!!Manufacturing","Estimate!!Total!!Sales and office occupations!!Wholesale trade","Margin of Error!!Total!!Sales and office occupations!!Wholesale trade","Estimate!!Total!!Sales and office occupations!!Retail trade","Margin of Error!!Total!!Sales and office occupations!!Retail trade","Estimate!!Total!!Sales and office occupations!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Sales and office occupations!!Transportation and warehousing, and utilities","Estimate!!Total!!Sales and office occupations!!Information","Margin of Error!!Total!!Sales and office occupations!!Information","Estimate!!Total!!Sales and office occupations!!Finance and insurance, and real estate, and rental and leasing","Margin of Error!!Total!!Sales and office occupations!!Finance and insurance, and real estate, and rental and leasing","Estimate!!Total!!Sales and office occupations!!Professional, scientific, and management, and administrative, and waste management services","Margin of Error!!Total!!Sales and office occupations!!Professional, scientific, and management, and administrative, and waste management services","Estimate!!Total!!Sales and office occupations!!Educational services, and health care and social assistance","Margin of Error!!Total!!Sales and office occupations!!Educational services, and health care and social assistance","Estimate!!Total!!Sales and office occupations!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Sales and office occupations!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Sales and office occupations!!Other services, except public administration","Margin of Error!!Total!!Sales and office occupations!!Other services, except public administration","Estimate!!Total!!Sales and office occupations!!Public administration","Margin of Error!!Total!!Sales and office occupations!!Public administration","Estimate!!Total!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Construction","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Construction","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Manufacturing","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Manufacturing","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Wholesale trade","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Wholesale trade","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Retail trade","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Retail trade","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Transportation and warehousing, and utilities","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Information","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Information","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Finance and insurance, and real estate, and rental and leasing","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Finance and insurance, and real estate, and rental and leasing","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Professional, scientific, and management, and administrative, and waste management services","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Professional, scientific, and management, and administrative, and waste management services","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Educational services, and health care and social assistance","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Educational services, and health care and social assistance","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Other services, except public administration","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Other services, except public administration","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Public administration","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Public administration","Estimate!!Total!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Production, transportation, and material moving occupations","Estimate!!Total!!Production, transportation, and material moving occupations!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Production, transportation, and material moving occupations!!Construction","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Construction","Estimate!!Total!!Production, transportation, and material moving occupations!!Manufacturing","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Manufacturing","Estimate!!Total!!Production, transportation, and material moving occupations!!Wholesale trade","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Wholesale trade","Estimate!!Total!!Production, transportation, and material moving occupations!!Retail trade","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Retail trade","Estimate!!Total!!Production, transportation, and material moving occupations!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Transportation and warehousing, and utilities","Estimate!!Total!!Production, transportation, and material moving occupations!!Information","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Information","Estimate!!Total!!Production, transportation, and material moving occupations!!Finance and insurance, and real estate, and rental and leasing","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Finance and insurance, and real estate, and rental and leasing","Estimate!!Total!!Production, transportation, and material moving occupations!!Professional, scientific, and management, and administrative, and waste management services","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Professional, scientific, and management, and administrative, and waste management services","Estimate!!Total!!Production, transportation, and material moving occupations!!Educational services, and health care and social assistance","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Educational services, and health care and social assistance","Estimate!!Total!!Production, transportation, and material moving occupations!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Production, transportation, and material moving occupations!!Other services, except public administration","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Other services, except public administration","Estimate!!Total!!Production, transportation, and material moving occupations!!Public administration","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Public administration"
"0500000US36005","Bronx County, New York","595657","3876","527","171","29971","1225","19553","1206","9936","774","66926","2035","44957","1478","10016","797","37671","1588","53717","1755","193464","2975","73370","2155","33618","1463","21931","1195","151038","2914","48","51","2451","341","2480","400","1114","260","4023","448","2219","343","4291","448","12185","823","17052","1087","84973","2228","7916","696","4904","552","7382","613","199775","2838","54","61","752","196","1285","286","583","212","5783","596","2354","329","800","207","10232","835","21843","1185","81502","1994","49431","1730","17041","1088","8115","709","130727","2745","50","49","839","206","3009","435","3717","424","44422","1637","8984","894","3745","535","12758","983","10164","812","23038","1166","11348","894","3018","434","5635","700","41393","1570","277","116","25133","1101","1212","275","468","197","1445","334","1608","240","909","230","1585","304","1582","326","1928","338","537","210","4368","578","341","139","72724","2034","98","81","796","184","11567","971","4054","489","11253","900","29792","1128","271","116","911","220","3076","432","2023","393","4138","681","4287","547","458","172"
"0500000US36047","Kings County, New York","1217624","4195","1450","292","61486","1811","40776","1460","27512","1061","114449","2098","79125","2010","54104","1426","90560","1730","168527","2325","346248","3557","124563","2542","63167","1879","45657","1292","510173","4372","440","133","7337","597","11392","654","6264","461","18830","899","6436","446","41011","1321","47043","1220","107930","2052","194849","2868","33223","1209","16999","887","18419","810","276554","3686","6","10","613","176","1230","263","417","133","5746","516","4130","464","1274","243","8433","520","26682","1188","111558","2504","71421","1789","29391","1350","15653","840","246463","2953","81","45","2583","362","6559","471","14734","717","71797","1623","17333","889","8870","611","31960","1185","26326","1158","34627","1017","15006","812","6644","603","9943","685","72875","2012","772","236","48744","1674","1668","236","537","155","1747","272","4704","505","1957","287","1914","287","2292","304","1497","223","824","200","5434","577","785","162","111559","2683","151","94","2209","292","19927","1003","5560","535","16329","971","46522","1556","992","186","1210","213","5297","520","3717","429","4089","487","4699","478","857","202"
"0500000US36061","New York County, New York","897040","4804","496","169","17651","1279","26125","1533","18416","1370","64278","2190","23276","1394","56446","2014","146846","3043","183477","4209","202300","3497","95501","2909","39568","2087","22660","1547","541357","4682","142","93","4429","670","14263","1188","6663","910","17411","998","3483","585","44043","1789","93160","2452","144566","3717","147999","3130","36203","1728","15778","1122","13217","1058","125636","3628","0","28","426","269","412","196","54","90","2959","521","1197","349","780","195","6241","731","11839","1088","33962","1626","46758","2042","16486","1420","4522","728","171366","3082","47","44","682","206","3740","573","9464","1075","36997","1627","5073","680","10244","1085","45062","2067","24365","1315","18385","1142","9479","933","3350","584","4478","621","20278","1351","224","117","11805","1039","475","230","338","202","663","272","758","235","631","248","1628","457","854","305","570","262","511","151","1724","393","97","74","38403","2104","83","74","309","149","7235","933","1897","407","6248","858","12765","943","748","248","755","302","1853","436","1384","467","2550","619","2230","487","346","251"
"0500000US36081","Queens County, New York","1131527","4453","1261","231","81060","2227","41837","1431","25812","1274","111451","2521","97122","2203","29183","1160","89000","2013","125880","2486","274953","3200","132675","2963","73493","1999","47800","1458","383959","4496","420","129","10694","808","10164","588","5252","474","14139","851","8322","696","18240","918","41635","1308","66384","1745","158351","2679","21342","1096","12019","745","16997","1024","276286","3673","11","15","622","186","1460","324","318","131","6390","464","3765","423","786","168","10049","612","29088","1332","78578","1813","87089","2193","38926","1522","19204","1041","246928","3200","91","60","4310","461","6943","604","13572","871","72320","1925","20231","1016","6965","598","33127","1313","22439","1071","33068","1161","17234","1035","7235","614","9393","633","92975","2022","563","164","62264","1835","2183","352","664","165","2585","405","6103","543","2067","318","2265","329","2551","378","1647","244","1091","196","7849","689","1143","232","131379","2514","176","88","3170","526","21087","1195","6006","495","16017","995","58701","1729","1125","228","1924","304","5418","522","3309","411","5919","524","7464","730","1063","198"
"0500000US36085","Richmond County, New York","211293","2486","136","77","15899","960","5335","523","3579","424","21039","1060","15110","923","5055","421","19750","1172","24172","1124","63621","1799","14886","919","8609","619","14102","894","86696","1799","46","36","2230","365","1842","293","741","188","2981","394","1846","350","2904","368","9510","859","12430","756","42928","1569","3354","409","2008","320","3876","383","40287","1468","0","28","99","60","82","49","129","112","1077","246","839","204","132","72","1571","362","3663","510","12235","809","9162","762","3615","416","7683","721","46533","1641","11","16","810","209","1143","272","1995","305","13655","884","3112","370","1215","222","7806","714","4975","469","7332","669","1573","253","1094","228","1812","301","18414","1067","54","49","12293","875","306","106","105","76","414","181","1718","291","629","198","408","127","508","146","374","133","141","72","1070","272","394","159","19363","1062","25","37","467","155","1962","317","609","189","2912","375","7595","691","175","112","455","171","2596","442","752","201","656","195","822","242","337","125"
